time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448600000	19.9204	14.7456	4.87186	1.88497	0.58078	lidar	1.13863	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8532	14.9672	4.85927	1.89962	0.547264	radar	3.4697	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8205	15.1897	4.8402	1.90909	0.528997	lidar	2.22542	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.685	15.3999	4.83862	1.99324	0.657474	radar	7.61606	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.649	15.5988	4.79679	2.00339	0.635573	lidar	4.01132	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5526	15.8091	4.7878	2.02842	0.620699	radar	1.49115	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4499	16.0192	4.78258	2.05749	0.618949	lidar	0.0397705	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3471	16.2312	4.77808	2.06941	0.572997	radar	1.97614	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2354	16.4116	4.74797	2.10003	0.577536	lidar	1.04026	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1144	16.6117	4.74439	2.12957	0.580072	radar	0.322046	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9885	16.815	4.74732	2.15699	0.578106	lidar	0.0404364	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8311	17.0049	4.7581	2.21997	0.659455	radar	6.17158	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6675	17.2247	4.79842	2.25261	0.656024	lidar	1.5098	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5633	17.4345	4.78606	2.22956	0.534201	radar	6.31333	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3576	17.6157	4.81286	2.27552	0.553175	lidar	3.73371	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2205	17.8089	4.8069	2.27523	0.489487	radar	2.22958	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0888	17.9969	4.79723	2.29023	0.479857	lidar	0.908047	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.911	18.1522	4.79028	2.33705	0.527473	radar	2.15183	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7736	18.3025	4.75253	2.35878	0.524828	lidar	1.29531	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.637	18.4871	4.74496	2.36483	0.492968	radar	6.64243	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4502	18.6613	4.76441	2.39154	0.49403	lidar	0.337726	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2667	18.804	4.75664	2.42902	0.519969	radar	1.87106	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1025	18.9437	4.73286	2.45352	0.519713	lidar	0.47977	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9349	19.1142	4.73724	2.46458	0.495248	radar	2.94728	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7201	19.2275	4.73294	2.50551	0.513175	lidar	2.76612	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5312	19.379	4.74222	2.53034	0.518372	radar	3.18708	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3157	19.5318	4.77257	2.55575	0.516056	lidar	0.765837	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0906	19.6159	4.76227	2.6096	0.563446	radar	10.1365	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.889	19.7565	4.77441	2.62987	0.554086	lidar	0.754524	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6977	19.8841	4.76112	2.63153	0.494421	radar	3.17506	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4761	20.0306	4.79447	2.64881	0.484256	lidar	1.37035	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2691	20.1692	4.8069	2.65963	0.462574	radar	5.67367	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0782	20.3037	4.80277	2.66997	0.448843	lidar	1.76599	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8487	20.3847	4.80219	2.70997	0.479679	radar	2.21445	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.634	20.5039	4.81118	2.72619	0.470776	lidar	0.642196	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.401	20.5879	4.82005	2.76518	0.504962	radar	1.36847	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1556	20.6615	4.83222	2.79798	0.512591	lidar	0.819603	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9216	20.7308	4.83618	2.83526	0.538977	radar	0.375353	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.653	20.7912	4.86726	2.87117	0.547115	lidar	2.03605	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4081	20.8199	4.86883	2.92806	0.609512	radar	2.2091	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1595	20.8622	4.87616	2.96183	0.612687	lidar	0.200914	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9296	20.9205	4.87225	2.9821	0.596975	radar	1.7691	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7183	20.9702	4.84835	3.00349	0.58923	lidar	1.6751	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4709	21.0088	4.85974	3.03149	0.588858	radar	2.65099	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2233	21.0466	4.87104	3.05593	0.582531	lidar	0.237407	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9858	21.0661	4.86851	3.08719	0.591066	radar	0.889537	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7377	21.0389	4.86265	3.13105	0.607416	lidar	1.78009	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4919	21.0252	4.86196	3.16603	0.611934	radar	1.05467	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2675	21.0221	4.84411	3.19348	0.609625	lidar	0.593757	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0158	20.9828	4.84994	3.23297	0.618822	radar	4.12206	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7962	20.9477	4.82545	3.26738	0.624457	lidar	0.510279	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.547	20.9493	4.82621	3.26645	0.555954	radar	5.75265	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2764	20.9749	4.86745	3.27013	0.525502	lidar	3.5106	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.037	20.9568	4.86627	3.2884	0.513789	radar	1.00578	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83062	20.922	4.83021	3.31365	0.515458	lidar	1.62545	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59047	20.9171	4.8207	3.3061	0.44767	radar	2.17012	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38723	20.8678	4.78383	3.333	0.454748	lidar	1.25585	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.16019	20.8278	4.77774	3.35474	0.457203	radar	1.53599	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.8841	20.7928	4.82443	3.3677	0.443801	lidar	1.863	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66385	20.714	4.81285	3.40323	0.465415	radar	4.57517	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40008	20.6277	4.84903	3.43258	0.47079	lidar	2.70743	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
